2018-11-30 21:22:29,635 @@@@smoothness_penalty_weight:9e-05
2018-11-30 21:22:29,636 @@@@smoothness_penalty_bias:-0.35
2018-11-30 21:22:29,637 @@@@ABCVar_penalty_weight:0.0
2018-11-30 21:22:29,637 @@@@prefix:output/-0.35-0.9-0.yaml/2007_trainval_2012_trainval/first
2018-11-30 21:23:30,184 Epoch[0] Batch [100]	Speed: 8.21 samples/sec	Train-SmoothnessLoss=122.499872,	ABCVarPenalty=0.000000,	APenalty=0.000042,	BPenalty=0.000488,	CPenalty=0.000002,	RCNNAcc=0.699431,	
2018-11-30 21:24:16,643 Epoch[0] Batch [200]	Speed: 8.61 samples/sec	Train-SmoothnessLoss=120.359779,	ABCVarPenalty=0.000020,	APenalty=0.919696,	BPenalty=2.058164,	CPenalty=6.420371,	RCNNAcc=0.787352,	
2018-11-30 21:25:02,457 Epoch[0] Batch [300]	Speed: 8.73 samples/sec	Train-SmoothnessLoss=110.611768,	ABCVarPenalty=0.000074,	APenalty=17.920855,	BPenalty=8.608802,	CPenalty=31.357252,	RCNNAcc=0.815699,	
2018-11-30 21:25:47,952 Epoch[0] Batch [400]	Speed: 8.79 samples/sec	Train-SmoothnessLoss=97.365978,	ABCVarPenalty=0.001206,	APenalty=55.545886,	BPenalty=14.295840,	CPenalty=64.814974,	RCNNAcc=0.830609,	
2018-11-30 21:26:33,744 Epoch[0] Batch [500]	Speed: 8.74 samples/sec	Train-SmoothnessLoss=84.295000,	ABCVarPenalty=0.006871,	APenalty=132.793227,	BPenalty=27.563663,	CPenalty=131.160661,	RCNNAcc=0.839645,	
2018-11-30 21:27:19,176 Epoch[0] Batch [600]	Speed: 8.80 samples/sec	Train-SmoothnessLoss=76.979276,	ABCVarPenalty=0.009928,	APenalty=199.344635,	BPenalty=40.220656,	CPenalty=206.268184,	RCNNAcc=0.845560,	
2018-11-30 21:28:04,638 Epoch[0] Batch [700]	Speed: 8.80 samples/sec	Train-SmoothnessLoss=70.708304,	ABCVarPenalty=0.012400,	APenalty=245.720329,	BPenalty=58.481556,	CPenalty=247.560514,	RCNNAcc=0.846525,	
2018-11-30 21:28:49,702 Epoch[0] Batch [800]	Speed: 8.88 samples/sec	Train-SmoothnessLoss=67.532437,	ABCVarPenalty=0.018051,	APenalty=296.623251,	BPenalty=88.397132,	CPenalty=269.569893,	RCNNAcc=0.846995,	
2018-11-30 21:29:34,604 Epoch[0] Batch [900]	Speed: 8.91 samples/sec	Train-SmoothnessLoss=63.869965,	ABCVarPenalty=0.020895,	APenalty=332.727838,	BPenalty=98.372495,	CPenalty=303.659551,	RCNNAcc=0.846026,	
2018-11-30 21:30:19,147 Epoch[0] Batch [1000]	Speed: 8.98 samples/sec	Train-SmoothnessLoss=62.740361,	ABCVarPenalty=0.019987,	APenalty=355.818568,	BPenalty=101.743997,	CPenalty=359.750089,	RCNNAcc=0.845260,	
2018-11-30 21:31:03,454 Epoch[0] Batch [1100]	Speed: 9.03 samples/sec	Train-SmoothnessLoss=60.703152,	ABCVarPenalty=0.020269,	APenalty=348.528763,	BPenalty=102.258456,	CPenalty=387.650995,	RCNNAcc=0.845664,	
